cell_type	developmental_stage	author	dataset	count	Label
Adult_Alpha	A	Xin et al.	GSE114297	5367	Adult_Alpha_A
Adult_Alpha	M1	Balboa et al.	GSE167880	261	Adult_Alpha_M1
Adult_Alpha	M3	Balboa et al.	GSE167880	8	Adult_Alpha_M3
Adult_Alpha	M6	Balboa et al.	GSE167880	165	Adult_Alpha_M6
Adult_Alpha	S5	Balboa et al.	GSE167880	51	Adult_Alpha_S5
Adult_Alpha	S6	Balboa et al.	GSE167880	422	Adult_Alpha_S6
Adult_Alpha	S7	Balboa et al.	GSE167880	469	Adult_Alpha_S7
Adult_Beta	A	Xin et al.	GSE114297	8096	Adult_Beta_A
Adult_Beta	M1	Balboa et al.	GSE167880	212	Adult_Beta_M1
Adult_Beta	M3	Balboa et al.	GSE167880	116	Adult_Beta_M3
Adult_Beta	M6	Balboa et al.	GSE167880	367	Adult_Beta_M6
Adult_Beta	S5	Balboa et al.	GSE167880	110	Adult_Beta_S5
Adult_Beta	S6	Balboa et al.	GSE167880	570	Adult_Beta_S6
Adult_Beta	S7	Balboa et al.	GSE167880	679	Adult_Beta_S7
Delta	A	Xin et al.	GSE114297	942	Delta_A
Delta	M1	Balboa et al.	GSE167880	20	Delta_M1
Delta	M3	Balboa et al.	GSE167880	5	Delta_M3
Delta	M6	Balboa et al.	GSE167880	41	Delta_M6
Delta	S5	Balboa et al.	GSE167880	35	Delta_S5
Delta	S6	Balboa et al.	GSE167880	239	Delta_S6
Delta	S7	Balboa et al.	GSE167880	259	Delta_S7
Early_SC_Beta	A	Xin et al.	GSE114297	43	Early_SC_Beta_A
Early_SC_Beta	M1	Balboa et al.	GSE167880	264	Early_SC_Beta_M1
Early_SC_Beta	M3	Balboa et al.	GSE167880	32	Early_SC_Beta_M3
Early_SC_Beta	M6	Balboa et al.	GSE167880	152	Early_SC_Beta_M6
Early_SC_Beta	S5	Balboa et al.	GSE167880	87	Early_SC_Beta_S5
Early_SC_Beta	S6	Balboa et al.	GSE167880	3035	Early_SC_Beta_S6
Early_SC_Beta	S7	Balboa et al.	GSE167880	2860	Early_SC_Beta_S7
Endocrine_Progenitor	A	Xin et al.	GSE114297	27	Endocrine_Progenitor_A
Endocrine_Progenitor	M1	Balboa et al.	GSE167880	17	Endocrine_Progenitor_M1
Endocrine_Progenitor	M3	Balboa et al.	GSE167880	21	Endocrine_Progenitor_M3
Endocrine_Progenitor	M6	Balboa et al.	GSE167880	19	Endocrine_Progenitor_M6
Endocrine_Progenitor	S5	Balboa et al.	GSE167880	495	Endocrine_Progenitor_S5
Endocrine_Progenitor	S6	Balboa et al.	GSE167880	234	Endocrine_Progenitor_S6
Endocrine_Progenitor	S7	Balboa et al.	GSE167880	101	Endocrine_Progenitor_S7
Epsilon	A	Xin et al.	GSE114297	19	Epsilon_A
Epsilon	M1	Balboa et al.	GSE167880	10	Epsilon_M1
Epsilon	M3	Balboa et al.	GSE167880	1	Epsilon_M3
Epsilon	M6	Balboa et al.	GSE167880	42	Epsilon_M6
Epsilon	S5	Balboa et al.	GSE167880	6	Epsilon_S5
Epsilon	S6	Balboa et al.	GSE167880	32	Epsilon_S6
Epsilon	S7	Balboa et al.	GSE167880	18	Epsilon_S7
FEV+	A	Xin et al.	GSE114297	27	FEV+_A
FEV+	M1	Balboa et al.	GSE167880	358	FEV+_M1
FEV+	M3	Balboa et al.	GSE167880	36	FEV+_M3
FEV+	M6	Balboa et al.	GSE167880	91	FEV+_M6
FEV+	S5	Balboa et al.	GSE167880	44	FEV+_S5
FEV+	S6	Balboa et al.	GSE167880	2521	FEV+_S6
FEV+	S7	Balboa et al.	GSE167880	943	FEV+_S7
Gamma	A	Xin et al.	GSE114297	543	Gamma_A
Gamma	M1	Balboa et al.	GSE167880	2	Gamma_M1
Gamma	M6	Balboa et al.	GSE167880	3	Gamma_M6
Gamma	S7	Balboa et al.	GSE167880	1	Gamma_S7
Late_SC_Beta	A	Xin et al.	GSE114297	14	Late_SC_Beta_A
Late_SC_Beta	M1	Balboa et al.	GSE167880	195	Late_SC_Beta_M1
Late_SC_Beta	M3	Balboa et al.	GSE167880	110	Late_SC_Beta_M3
Late_SC_Beta	M6	Balboa et al.	GSE167880	394	Late_SC_Beta_M6
Late_SC_Beta	S5	Balboa et al.	GSE167880	25	Late_SC_Beta_S5
Late_SC_Beta	S6	Balboa et al.	GSE167880	607	Late_SC_Beta_S6
Late_SC_Beta	S7	Balboa et al.	GSE167880	1939	Late_SC_Beta_S7
Polyhormonal	M1	Balboa et al.	GSE167880	2	Polyhormonal_M1
Polyhormonal	M6	Balboa et al.	GSE167880	8	Polyhormonal_M6
Polyhormonal	S5	Balboa et al.	GSE167880	2	Polyhormonal_S5
Polyhormonal	S6	Balboa et al.	GSE167880	392	Polyhormonal_S6
Polyhormonal	S7	Balboa et al.	GSE167880	69	Polyhormonal_S7
SC_Alpha	A	Xin et al.	GSE114297	661	SC_Alpha_A
SC_Alpha	M1	Balboa et al.	GSE167880	478	SC_Alpha_M1
SC_Alpha	M3	Balboa et al.	GSE167880	28	SC_Alpha_M3
SC_Alpha	M6	Balboa et al.	GSE167880	1755	SC_Alpha_M6
SC_Alpha	S5	Balboa et al.	GSE167880	200	SC_Alpha_S5
SC_Alpha	S6	Balboa et al.	GSE167880	825	SC_Alpha_S6
SC_Alpha	S7	Balboa et al.	GSE167880	4632	SC_Alpha_S7
